%time,field.transforms0.header.seq,field.transforms0.header.stamp,field.transforms0.header.frame_id,field.transforms0.child_frame_id,field.transforms0.transform.translation.x,field.transforms0.transform.translation.y,field.transforms0.transform.translation.z,field.transforms0.transform.rotation.x,field.transforms0.transform.rotation.y,field.transforms0.transform.rotation.z,field.transforms0.transform.rotation.w
1592403390635301944,0,1592403390635112905,world,Robot_1/base_link,0.354470014572,0.0952674299479,0.478070944548,0.00612110926346,0.0078243207125,0.0537570787895,0.998504626182
1592403390642986638,0,1592403390642767728,world,Robot_1/base_link,0.354353368282,0.0953026488423,0.478137582541,0.00521368525146,0.0096539527517,0.0528817429244,0.998540504911
1592403390653588796,0,1592403390653372841,world,Robot_1/base_link,0.354495763779,0.0953866615891,0.478373318911,0.00445535015711,0.0101352953862,0.0530884244177,0.998528439673
1592403390660491296,0,1592403390660287382,world,Robot_1/base_link,0.354589939117,0.0952253490686,0.478339701891,0.00531065083717,0.0102412131047,0.0527061626051,0.99854342668
1592403390669020392,0,1592403390668785621,world,Robot_1/base_link,0.354117721319,0.0948776826262,0.478043854237,0.00433287893409,0.016321051269,0.0480299611707,0.998703145222
1592403390676814011,0,1592403390676538771,world,Robot_1/base_link,0.35428866744,0.0950473994017,0.478114724159,0.00407170326433,0.0173174834396,0.0479503974036,0.998691286329
1592403390685568276,0,1592403390685327341,world,Robot_1/base_link,0.354191750288,0.0952869802713,0.478117465973,0.0030463607487,0.0178558195226,0.0477715947167,0.998694029287
1592403390696459030,0,1592403390696197361,world,Robot_1/base_link,0.355065524578,0.0956105068326,0.478452593088,0.00357442065039,0.0130655326875,0.0529468874818,0.998505454406
1592403390701522822,0,1592403390701253446,world,Robot_1/base_link,0.354966759682,0.0958442613482,0.478725254536,0.00272748846338,0.0127883653226,0.0532451409678,0.998495855516
1592403390710109914,0,1592403390709845297,world,Robot_1/base_link,0.353836894035,0.0963047146797,0.47898003459,-0.000142999298517,0.014464479283,0.0488590695793,0.998700931065
1592403390718170176,0,1592403390717959250,world,Robot_1/base_link,0.355033993721,0.0960255414248,0.478569447994,0.00314631286817,0.0129016170683,0.0534826137177,0.998480475033
1592403390727345881,0,1592403390727071679,world,Robot_1/base_link,0.354888409376,0.0960422605276,0.478875309229,0.00138739295709,0.0135509508668,0.0522745240901,0.998539844474
1592403390735630845,0,1592403390735389621,world,Robot_1/base_link,0.354752272367,0.096295081079,0.478856474161,0.0008474951015,0.0137660745322,0.0516807436157,0.998568414123
1592403390743250961,0,1592403390742987160,world,Robot_1/base_link,0.355085223913,0.0962288156152,0.478965640068,0.0009489966012,0.0137637457948,0.0530048926652,0.998498943445
1592403390752394579,0,1592403390752108880,world,Robot_1/base_link,0.355106949806,0.0963102951646,0.479165434837,0.00055497565001,0.0132079721432,0.0530231300768,0.998505778226
1592403390760063527,0,1592403390759801110,world,Robot_1/base_link,0.355015963316,0.0964241102338,0.478999644518,0.00122234129081,0.0126599377578,0.0529407584827,0.998516653817
1592403390767879142,0,1592403390767658564,world,Robot_1/base_link,0.354864418507,0.0963437631726,0.479396402836,-8.3544053791e-05,0.0133461758063,0.0520246109932,0.998556614551
1592403390776803724,0,1592403390776517411,world,Robot_1/base_link,0.354793101549,0.0963881015778,0.479583263397,-0.00041913689983,0.0124072071883,0.0519784213709,0.998571043665
1592403390784995216,0,1592403390784755144,world,Robot_1/base_link,0.354601502419,0.0965669900179,0.479547798634,0.00034818979519,0.0115517883328,0.0519719470635,0.998581670004
1592403390794710668,0,1592403390794500957,world,Robot_1/base_link,0.354770332575,0.096523694694,0.479760289192,-7.64101712573e-05,0.0118972249014,0.052166659247,0.998567518931
1592403390801567615,0,1592403390801390055,world,Robot_1/base_link,0.354616999626,0.0966730415821,0.480005741119,-0.000121091406233,0.010345989308,0.0521787490031,0.998584159695
1592403390810176096,0,1592403390809952248,world,Robot_1/base_link,0.354678839445,0.0967085212469,0.480057954788,0.000227235452913,0.00957902330843,0.0525990000792,0.998569745119
1592403390820353598,0,1592403390820176059,world,Robot_1/base_link,0.354785770178,0.0965768545866,0.480384975672,-2.93309236258e-05,0.0106510388209,0.0518912628985,0.998595939981
1592403390827659845,0,1592403390827395783,world,Robot_1/base_link,0.354052364826,0.0963286459446,0.480311304331,-2.30090527677e-05,0.0136340022621,0.0472776089966,0.998788736991
1592403390837355779,0,1592403390837070828,world,Robot_1/base_link,0.354275971651,0.0961519181728,0.480246722698,0.00147644639782,0.0138379175326,0.0474377162074,0.998777250054
1592403390843500721,0,1592403390843299144,world,Robot_1/base_link,0.354212403297,0.0961854532361,0.480599343777,0.00158042044235,0.0135516945013,0.0471908348773,0.998792710702
1592403390852734588,0,1592403390852521825,world,Robot_1/base_link,0.354232281446,0.0962490811944,0.480957686901,0.00224006822956,0.0117319717266,0.0478182759714,0.998784639157
1592403390860396311,0,1592403390860154833,world,Robot_1/base_link,0.354819953442,0.0966585054994,0.48134508729,0.00402810192765,0.00685451321193,0.0532853567472,0.998547675777
1592403390869048881,0,1592403390868754340,world,Robot_1/base_link,0.354725331068,0.0966949611902,0.481640100479,0.00331269388489,0.00724708558701,0.0519275960312,0.998619061795
1592403390877099760,0,1592403390876870841,world,Robot_1/base_link,0.354689151049,0.0967587679625,0.481868207455,0.00310905666912,0.00764656516251,0.0514856230665,0.998639621898
1592403390884677294,0,1592403390884371235,world,Robot_1/base_link,0.354539036751,0.0969957783818,0.482030510902,0.0034813071151,0.00716279131017,0.0515133447615,0.998640551066
1592403390894367166,0,1592403390894119244,world,Robot_1/base_link,0.354496061802,0.0971346646547,0.482359856367,0.00277366086744,0.00769487592333,0.0503502433861,0.998698126904
1592403390901791417,0,1592403390901521398,world,Robot_1/base_link,0.35455802083,0.0972862914205,0.482596278191,0.00245705514544,0.00746262270576,0.0504688931652,0.998694729617
1592403390910219846,0,1592403390909869125,world,Robot_1/base_link,0.354637891054,0.0973426550627,0.482615172863,0.00326694290877,0.00691449078263,0.0510478763864,0.998666927067
1592403390919939676,0,1592403390919719372,world,Robot_1/base_link,0.354303598404,0.097037024796,0.482587248087,0.00189329512607,0.0119150340989,0.0462590435992,0.998856620482
